"","block","image","condition","direction","subject","response","correct","switch","switchType","rt","participant_number_fl","participant_number","child_adult_group","age_group","test_date","age_months","age_years_months","gender","list","computer_fl","comments_nw","comments_fl","exclude"
"1667","test","nogo_right.jpg","nogo","right",20032344,NA,1,0,"xx",-1,20032344,20032344,"child","5-year-olds","2023-03-20",62,"5 years, 2 months","m",1,"adc4","had to recalibrate once and skipped recalibration on last trial","only used his right hand to respond","no"
"1668","test","in_left.jpg","incongruent","left",20032344,"left",1,1,"xi",2.748,20032344,20032344,"child","5-year-olds","2023-03-20",62,"5 years, 2 months","m",1,"adc4","had to recalibrate once and skipped recalibration on last trial","only used his right hand to respond","no"
"1669","test","in_right.jpg","incongruent","right",20032344,"right",1,0,"ii",1.797,20032344,20032344,"child","5-year-olds","2023-03-20",62,"5 years, 2 months","m",1,"adc4","had to recalibrate once and skipped recalibration on last trial","only used his right hand to respond","no"
"1670","test","con_left.jpg","congruent","left",20032344,"left",1,1,"ic",1.597,20032344,20032344,"child","5-year-olds","2023-03-20",62,"5 years, 2 months","m",1,"adc4","had to recalibrate once and skipped recalibration on last trial","only used his right hand to respond","no"
"1671","test","con_right.jpg","congruent","right",20032344,"right",1,0,"cc",1.329,20032344,20032344,"child","5-year-olds","2023-03-20",62,"5 years, 2 months","m",1,"adc4","had to recalibrate once and skipped recalibration on last trial","only used his right hand to respond","no"
"1672","test","in_right.jpg","incongruent","right",20032344,"right",1,1,"ci",1.698,20032344,20032344,"child","5-year-olds","2023-03-20",62,"5 years, 2 months","m",1,"adc4","had to recalibrate once and skipped recalibration on last trial","only used his right hand to respond","no"
"1673","test","in_left.jpg","incongruent","left",20032344,"left",1,0,"ii",1.865,20032344,20032344,"child","5-year-olds","2023-03-20",62,"5 years, 2 months","m",1,"adc4","had to recalibrate once and skipped recalibration on last trial","only used his right hand to respond","no"
"1674","test","nogo_right.jpg","nogo","right",20032344,NA,1,1,"ix",-1,20032344,20032344,"child","5-year-olds","2023-03-20",62,"5 years, 2 months","m",1,"adc4","had to recalibrate once and skipped recalibration on last trial","only used his right hand to respond","no"
"1675","test","nogo_left.jpg","nogo","left",20032344,NA,1,0,"xx",-1,20032344,20032344,"child","5-year-olds","2023-03-20",62,"5 years, 2 months","m",1,"adc4","had to recalibrate once and skipped recalibration on last trial","only used his right hand to respond","no"
"1676","test","in_left.jpg","incongruent","left",20032344,"left",1,1,"xi",1.598,20032344,20032344,"child","5-year-olds","2023-03-20",62,"5 years, 2 months","m",1,"adc4","had to recalibrate once and skipped recalibration on last trial","only used his right hand to respond","no"
"1677","test","in_left.jpg","incongruent","left",20032344,"left",1,0,"ii",1.432,20032344,20032344,"child","5-year-olds","2023-03-20",62,"5 years, 2 months","m",1,"adc4","had to recalibrate once and skipped recalibration on last trial","only used his right hand to respond","no"
"1678","test","nogo_left.jpg","nogo","left",20032344,NA,1,1,"ix",-1,20032344,20032344,"child","5-year-olds","2023-03-20",62,"5 years, 2 months","m",1,"adc4","had to recalibrate once and skipped recalibration on last trial","only used his right hand to respond","no"
"1679","test","nogo_left.jpg","nogo","left",20032344,NA,1,0,"xx",-1,20032344,20032344,"child","5-year-olds","2023-03-20",62,"5 years, 2 months","m",1,"adc4","had to recalibrate once and skipped recalibration on last trial","only used his right hand to respond","no"
